Unnamed: 0,Название должности,Уровень позиции,Формат работы,Ключевые навыки,Город,Зарплата
0,разработчик,middle,удаленно,"['1С', 'ERP']",Москва,200000
1,aqa инженер,middle,гибрид,"['1С', 'Python', 'JavaScript']",Россия,247500
2,ведущего программиста 1с,lead,офис,"['1С', 'УПП']",Краснодар,190000
3,программист 1с,middle,гибрид,"['1С', 'SQL', 'ЗУП', 'УТ', 'СКД', 'XML']",Россия,312500
4,разработчик,middle,удаленно,"['1С', 'SOAP']",Мир,285000
5,программист,middle,офис,['1С'],Москва,225000
6,программист,middle,удаленно,"['1С', 'ERP']",Мир,240000
7,1c аналитик,middle,офис,"['1С', 'ERP', 'УТ']",Москва,285000
8,аналитик,middle,офис,"['1С', 'ERP']",Мир,250000
9,менеджер,middle,гибкий,['1С'],Мир,225000
10,программист 1с,manager,удаленно,"['1С', 'ERP', 'УПП', 'УТ']",Мир,325000
11,программист,middle,гибрид,"['1С', 'SQL', 'Python', 'ЗУП']",Санкт-Петербург,210000
12,аналитик,middle,удаленно,"['1С', 'ERP']",Мир,280000
13,консультант-аналитик 1с,middle,удаленно,"['1С', 'ЗУП', 'БП', 'УТ']",Мир,125000
14,программист,middle,гибрид,"['1С', 'ERP', 'ЗУП', 'БП', 'СКД']",Нижний Новгород,225000
15,разработчик,middle,удаленно,"['1С', 'ERP']",Мир,142500
16,программист,middle,удаленно,"['1С', 'ЗУП', 'БП', 'СКД', 'XML', 'JSON']",Мир,325000
17,программист 1с,middle,гибкий,"['1С', 'СКД']",Мир,162500
18,разработчик,middle,гибрид,"['1С', 'ERP']",Россия,300000
19,разработчик,middle,гибрид,"['1С', 'ЗУП']",Россия,250000
20,программист,middle,офис,"['1С', 'SQL', 'ЗУП', 'СКД', 'XML']",Мир,250000
22,разработчика 1с,middle,офис,['1С'],Мир,300000
23,аналитик,senior,удаленно,"['1С', 'ERP']",Россия,300000
25,аналитик,middle,гибрид,['1С'],Ростов,250000
26,программист,middle,гибрид,"['1С', 'ERP', 'ЗУП']",Москва,300000
27,разработчика 1с:бнфо,senior,удаленно,"['1С', 'XML', 'JSON']",Москва,350000
28,разработчика 1с erp,middle,гибрид,"['1С', 'ERP', 'ЗУП', 'БП']",Казань,250000
29,разработчик,lead,офис,"['1С', 'ЗУП']",Москва,250000
30,аналитик,middle,удаленно,"['1С', 'SQL', 'ERP']",Москва,300000
31,программист,lead,офис,"['1С', 'ЗУП', 'СКД']",Москва,300000
32,ведущего разработчика/архитектора 1с,senior,офис,"['1С', 'ERP', 'ЗУП']",Пермь,250000
33,программиста 1с,middle,удаленно,"['1С', 'УПП', 'БП', 'УТ']",Москва,205000
35,программист,lead,удаленно,"['1С', 'ERP', 'УТ']",Краснодар,337500
36,аналитик,middle,гибрид,"['1С', 'ERP', 'УТ']",Россия,250000
38,программист,middle,гибрид,"['1С', 'ЗУП', 'БП', 'УТ']",Россия,262500
39,функционального архитектора 1с:erp/ 1с:erp,lead,офис,"['1С', 'ERP']",Москва,437500
40,ведущего разработчика 1с,lead,удаленно,"['1С', 'ERP', 'ЗУП', 'БП', 'УТ', 'СКД']",Россия,350000
41,консультант,middle,удаленно,"['1С', 'ERP']",Россия,275000
42,программист,middle,удаленно,"['1С', 'ERP']",Нижний Новгород,260500
43,функционального архитектора 1с,lead,удаленно,"['1С', 'ERP']",Россия,487500
44,консультант по бюджетированию,middle,удаленно,"['1С', 'ERP']",Россия,260000
45,аналитик,lead,удаленно,"['1С', 'ERP', 'УПП', 'ЗУП']",Россия,245000
46,консультант,middle,удаленно,"['1С', 'ERP', 'УПП', 'БП']",Россия,280000
47,аналитиков 1с,middle,удаленно,"['1С', 'ERP']",Россия,262500
48,аналитик,middle,гибрид,"['1С', 'ЗУП', 'БП', 'УТ']",Москва,375000
49,разработчик 1с,middle,гибрид,"['1С', 'ЗУП', 'БП', 'УТ']",Московский,232500
50,руководитель службы технической поддержки 1с,manager,гибрид,"['1С', 'ЗУП']",Москва,306250
51,менеджера по продажам проектов 1с (b2b),middle,гибкий,"['1С', 'ERP']",Россия,187500
52,программиста 1с,middle,гибрид,"['1С', 'УПП', 'ЗУП', 'БП', 'УТ']",Россия,262500
53,программист 1с (в офис),middle,офис,"['1С', 'SQL', 'ЗУП', 'БП']",Химки,375000
54,программист 1с,middle,гибрид,"['1С', 'SQL', 'СКД', 'SOAP']",Санкт-Петербург,225000
55,кандидата на позицию: консультант 1с/аналитик 1с,manager,офис,"['1С', 'ЗУП', 'УТ']",Екатеринбург,98000
57,консультант,middle,удаленно,"['1С', 'БП']",Россия,280000
58,программист,middle,офис,"['1С', 'УТ']",Краснодар,156250
59,программист 1с,middle,удаленно,"['1С', 'ERP', 'ЗУП', 'БП', 'СКД']",Россия,275000
60,начинающего разработчика 1с,junior,офис,"['1С', 'СКД', 'XML', 'JSON']",Россия,125000
61,программист 1с,middle,офис,"['1С', 'СКД', 'XML', 'JSON']",Россия,200000
62,конфигурации 1с,middle,удаленно,"['1С', 'ERP', 'ЗУП', 'БП']",Мир,200000
63,в нашу дружную команду: консультанта по унф (уровень middle)💪🏻,middle,удаленно,"['1С', 'УТ']",Мир,125000
65,аналитик 1с,middle,гибрид,"['1С', 'СКД']",Сочи,225000
66,разработчик 1с: crm,middle,удаленно,"['1С', 'СКД', 'XML', 'JSON', 'SOAP']",Россия,262500
67,разработчик,middle,гибрид,"['1С', 'SQL', 'СКД', 'XML', 'JSON', 'SOAP']",Московский,389375
68,системного аналитика 1с,junior,гибкий,['1С'],Россия,140000
69,консультант 1с,middle,удаленно,"['1С', 'УТ']",Мир,125000
70,разработчик,middle,удаленно,"['1С', 'ЗУП']",Россия,262500
71,руководителя отдела разработки и сопровождения 1с,lead,гибрид,"['1С', 'ERP', 'БП', 'УТ']",Москва,475000
72,аналитик,middle,гибкий,"['1С', 'ERP']",Мир,200000
73,уверенного аналитика 1с,lead,удаленно,"['1С', 'УПП']",Россия,187500
74,аналитик 1с,middle,гибрид,"['1С', 'ERP']",Дубна,212500
76,разработчик,senior,гибрид,"['1С', 'ЗУП']",Москва,275000
